Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      232;19470401;   5;    7.4;   7.6;   4.3;  944.20;   75.00;-999;   15.0;    1.8;   -999;-999;   0.0;   1;    6.700;   0;eor
      232;19470402;   5;    4.4;   6.9;   7.7;  942.30;   85.00;-999;    9.1;    0.1;   -999;-999;   1.7;   1;    0.000;   0;eor
      232;19470403;   5;    7.2;   7.5;   7.3;  948.20;   74.00;-999;   12.1;    3.5;   -999;-999;   0.2;   1;    5.600;   0;eor
      232;19470404;   5;    6.9;   7.3;   6.7;  948.40;   72.00;-999;   11.3;    4.4;   -999;-999;   0.6;   1;    2.200;   0;eor
      232;19470405;   5;    4.5;   7.1;   7.7;  965.00;   83.00;-999;    7.2;    3.6;   -999;-999;   0.0;   0;    1.400;   0;eor
      232;19470406;   5;    9.8;   6.8;   8.0;  965.10;   62.00;-999;   12.3;   -0.5;   -999;-999;   0.8;   1;    0.000;   0;eor
      232;19470407;   5;   13.3;   9.6;   7.0;  962.00;   62.00;-999;   16.5;   11.5;   -999;-999;   0.2;   1;    2.300;   0;eor
      232;19470408;   5;   13.7;  10.0;   8.0;  958.80;   65.00;-999;   18.6;    9.8;   -999;-999;   2.0;   1;    8.800;   0;eor
      232;19470409;   5;    4.6;   6.9;   7.0;  963.90;   79.00;-999;   13.6;    3.2;   -999;-999;   3.0;   1;    5.900;   0;eor
      232;19470410;   5;    4.4;   5.3;   3.7;  974.70;   65.00;-999;   10.0;    1.4;   -999;-999;   0.0;   0;   10.700;   0;eor
      232;19470411;   5;    4.7;   5.1;   1.3;  972.00;   61.00;-999;   10.3;   -1.4;   -999;-999;   0.0;   0;   12.500;   0;eor
      232;19470412;   5;    7.4;   5.2;   0.0;  968.60;   56.00;-999;   14.2;    0.4;   -999;-999;   0.0;   0;   12.600;   0;eor
      232;19470413;   5;    7.5;   4.9;   0.7;  967.90;   56.00;-999;   17.7;   -0.5;   -999;-999;   0.0;   0;   12.800;   0;eor
      232;19470414;   5;   10.6;   6.5;   4.0;  967.20;   57.00;-999;   20.6;   -0.5;   -999;-999;   0.0;   0;   12.500;   0;eor
      232;19470415;   5;   14.0;   8.7;   4.3;  970.30;   58.00;-999;   22.2;    8.6;   -999;-999;   0.0;   0;   10.300;   0;eor
      232;19470416;   5;   14.0;   8.4;   0.0;  967.20;   56.00;-999;   24.6;    5.4;   -999;-999;   0.0;   0;   13.000;   0;eor
